iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CHN,Asia,China,2020-01-22,547.0,,,17.0,,,0.379,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-23,639.0,92.0,,18.0,1.0,,0.442,0.064,,0.012,0.001,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-24,916.0,277.0,,26.0,8.0,,0.634,0.192,,0.018,0.006,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-25,1399.0,483.0,,42.0,16.0,,0.969,0.334,,0.029,0.011,,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.69,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-26,2062.0,663.0,,56.0,14.0,,1.428,0.459,,0.039,0.01,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-27,2863.0,801.0,,82.0,26.0,,1.982,0.555,,0.057,0.018,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-28,5494.0,2631.0,,131.0,49.0,,3.804,1.822,,0.091,0.034,,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-29,6070.0,576.0,789.0,133.0,2.0,16.571,4.203,0.399,0.546,0.092,0.001,0.011,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-30,8124.0,2054.0,1069.286,171.0,38.0,21.857,5.625,1.422,0.74,0.118,0.026,0.015,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-01-31,9783.0,1659.0,1266.714,213.0,42.0,26.714,6.774,1.149,0.877,0.147,0.029,0.018,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-01,11871.0,2088.0,1496.0,259.0,46.0,31.0,8.22,1.446,1.036,0.179,0.032,0.021,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-02,16607.0,4736.0,2077.857,361.0,102.0,43.571,11.499,3.279,1.439,0.25,0.071,0.03,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-03,19693.0,3086.0,2404.286,425.0,64.0,49.0,13.636,2.137,1.665,0.294,0.044,0.034,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-04,23680.0,3987.0,2598.0,490.0,65.0,51.286,16.396,2.761,1.799,0.339,0.045,0.036,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-05,27409.0,3729.0,3048.429,562.0,72.0,61.286,18.978,2.582,2.111,0.389,0.05,0.042,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-06,30553.0,3144.0,3204.143,632.0,70.0,65.857,21.155,2.177,2.219,0.438,0.048,0.046,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-07,34075.0,3522.0,3470.286,717.0,85.0,72.0,23.594,2.439,2.403,0.496,0.059,0.05,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-08,36778.0,2703.0,3558.143,804.0,87.0,77.857,25.466,1.872,2.464,0.557,0.06,0.054,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-09,39790.0,3012.0,3311.857,904.0,100.0,77.571,27.551,2.086,2.293,0.626,0.069,0.054,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-10,42306.0,2516.0,3230.429,1011.0,107.0,83.714,29.293,1.742,2.237,0.7,0.074,0.058,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-11,44327.0,2021.0,2949.571,1111.0,100.0,88.714,30.693,1.399,2.042,0.769,0.069,0.061,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-12,44699.0,372.0,2470.0,1116.0,5.0,79.143,30.95,0.258,1.71,0.773,0.003,0.055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-13,59832.0,15133.0,4182.714,1368.0,252.0,105.143,41.429,10.478,2.896,0.947,0.174,0.073,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2020-02-14,66292.0,6460.0,4602.429,1520.0,152.0,114.714,45.902,4.473,3.187,1.052,0.105,0.079,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
